Year,age3plusLG3
2001,1344
2002,519
2003,1577
2004,1530
2005,694
2006,872
2007,726
2008,1214
2009,828
2010,878
2011,555
2012,509
2013,686
2014,745
2015,302
2016,863
2017,1600
2018,889
